"2025-09-11T02:59:03.813449+0000 | INFO | Storage Service客户端初始化完成: http://storage-service:8000"
"2025-09-11T02:59:03.866028+0000 | INFO | 🚀 启动 content-quality-control-service"
"2025-09-11T02:59:03.866253+0000 | INFO | 🌐 服务地址: http://0.0.0.0:8010"
"2025-09-11T02:59:03.866389+0000 | INFO | 📚 API文档: http://0.0.0.0:8010/api/v1/docs"
"2025-09-11T02:59:04.442187+0000 | INFO | Storage Service客户端初始化完成: http://storage-service:8000"
"2025-09-11T02:59:04.516315+0000 | INFO | 🚀 启动 content-quality-control-service v1.0.0"
"2025-09-11T02:59:04.516546+0000 | INFO | 🌍 运行环境: testing"
"2025-09-11T02:59:04.516725+0000 | INFO | 🔧 调试模式: True"
"2025-09-11T02:59:04.526990+0000 | INFO | ✅ Storage Service 连接正常"
"2025-09-11T02:59:04.527160+0000 | INFO | ✅ 服务初始化完成"
"2025-09-11T02:59:16.217133+0000 | INFO | 📥 GET http://localhost:8010/health"
"2025-09-11T02:59:16.227947+0000 | INFO | 📤 GET http://localhost:8010/health -> 200 (0.011s)"
"2025-09-11T02:59:46.309762+0000 | INFO | 📥 GET http://localhost:8010/health"
"2025-09-11T02:59:46.314992+0000 | INFO | 📤 GET http://localhost:8010/health -> 200 (0.006s)"
"2025-09-11T03:00:16.375593+0000 | INFO | 📥 GET http://localhost:8010/health"
"2025-09-11T03:00:16.382869+0000 | INFO | 📤 GET http://localhost:8010/health -> 200 (0.008s)"
"2025-09-11T03:00:46.490114+0000 | INFO | 📥 GET http://localhost:8010/health"
"2025-09-11T03:00:46.495453+0000 | INFO | 📤 GET http://localhost:8010/health -> 200 (0.006s)"
"2025-09-11T03:01:16.659023+0000 | INFO | 📥 GET http://localhost:8010/health"
"2025-09-11T03:01:16.663547+0000 | INFO | 📤 GET http://localhost:8010/health -> 200 (0.005s)"
"2025-09-11T03:01:46.770897+0000 | INFO | 📥 GET http://localhost:8010/health"
"2025-09-11T03:01:46.777275+0000 | INFO | 📤 GET http://localhost:8010/health -> 200 (0.007s)"
"2025-09-11T03:02:16.870358+0000 | INFO | 📥 GET http://localhost:8010/health"
"2025-09-11T03:02:16.877174+0000 | INFO | 📤 GET http://localhost:8010/health -> 200 (0.007s)"
"2025-09-11T03:02:46.916433+0000 | INFO | 📥 GET http://localhost:8010/health"
"2025-09-11T03:02:46.919596+0000 | INFO | 📤 GET http://localhost:8010/health -> 200 (0.003s)"
"2025-09-11T03:03:16.687230+0000 | INFO | 📥 GET http://localhost:8010/health"
"2025-09-11T03:03:16.693093+0000 | INFO | 📤 GET http://localhost:8010/health -> 200 (0.006s)"
"2025-09-11T03:03:16.975233+0000 | INFO | 📥 GET http://localhost:8010/health"
"2025-09-11T03:03:16.976426+0000 | INFO | 📤 GET http://localhost:8010/health -> 200 (0.001s)"
"2025-09-11T03:03:36.303419+0000 | INFO | 📥 GET http://localhost:8010/openapi.json"
"2025-09-11T03:03:36.307445+0000 | INFO | 📤 GET http://localhost:8010/openapi.json -> 404 (0.004s)"
"2025-09-11T03:03:41.100094+0000 | INFO | 📥 GET http://localhost:8010/docs"
"2025-09-11T03:03:41.104941+0000 | INFO | 📤 GET http://localhost:8010/docs -> 404 (0.005s)"
"2025-09-11T03:03:47.071736+0000 | INFO | 📥 GET http://localhost:8010/health"
"2025-09-11T03:03:47.080060+0000 | INFO | 📤 GET http://localhost:8010/health -> 200 (0.009s)"
"2025-09-11T03:04:05.535224+0000 | INFO | 📥 GET http://localhost:8010/api/v1/openapi.json"
"2025-09-11T03:04:05.611758+0000 | INFO | 📤 GET http://localhost:8010/api/v1/openapi.json -> 200 (0.077s)"
"2025-09-11T03:04:16.585042+0000 | INFO | 📥 POST http://localhost:8010/api/v1/quality/check"
"2025-09-11T03:04:16.589398+0000 | INFO | 开始质量检测，内容长度: 56"
"2025-09-11T03:04:17.054786+0000 | INFO | 质量检测引擎初始化完成"
"2025-09-11T03:04:17.055086+0000 | INFO | 开始质量检测，内容长度: 56"
"2025-09-11T03:04:17.063721+0000 | INFO | 质量检测完成，总分: 91.8，问题数: 0"
"2025-09-11T03:04:17.063974+0000 | INFO | 保存质量检测结果: 18ae9cb0-e3a6-48db-82b1-83b8fe166cff"
"2025-09-11T03:04:17.075728+0000 | ERROR | Storage Service请求异常: Storage Service请求失败: 404"
"2025-09-11T03:04:17.076107+0000 | WARNING | 保存质量检测结果失败: Storage Service请求异常: Storage Service请求失败: 404"
"2025-09-11T03:04:17.077086+0000 | INFO | 📤 POST http://localhost:8010/api/v1/quality/check -> 200 (0.492s)"
